NC_001133.9_RagTag	NC_001224.1	5.15e-52	204	110	129	0
NC_001133.9_RagTag	NC_001224.1	4.09e-33	141	76	83	0
NC_001135.5_RagTag	NC_001224.1	6.44e-68	257	139	139	0
NC_001139.9_RagTag	NC_001224.1	3.91e-20	100	54	99	0
NC_001143.9_RagTag	NC_001224.1	4.12e-23	110	59	69	0
NC_001144.5_RagTag	NC_001224.1	1.05e-20	102	55	58	0
NC_001145.3_RagTag	NC_001224.1	1.58e-08	62.1	33	43	0
NC_001224.1_RagTag	NC_001224.1	0.0	7099	3844	4087	89
NC_001224.1_RagTag	NC_001224.1	0.0	5323	2882	3329	89
NC_001224.1_RagTag	NC_001224.1	0.0	5088	2755	2886	89
NC_001224.1_RagTag	NC_001224.1	0.0	5066	2743	3132	89
NC_001224.1_RagTag	NC_001224.1	0.0	4793	2595	2722	89
NC_001224.1_RagTag	NC_001224.1	0.0	4412	2389	2833	89
NC_001224.1_RagTag	NC_001224.1	0.0	4394	2379	2615	89
NC_001224.1_RagTag	NC_001224.1	0.0	4270	2312	2433	89
NC_001224.1_RagTag	NC_001224.1	0.0	4257	2305	2372	89
NC_001224.1_RagTag	NC_001224.1	0.0	3685	1995	2020	89
NC_001224.1_RagTag	NC_001224.1	0.0	3651	1977	2451	89
NC_001224.1_RagTag	NC_001224.1	0.0	2769	1499	1975	89
NC_001224.1_RagTag	NC_001224.1	0.0	2654	1437	1617	89
NC_001224.1_RagTag	NC_001224.1	0.0	2639	1429	1639	89
NC_001224.1_RagTag	NC_001224.1	0.0	2621	1419	1614	89
NC_001224.1_RagTag	NC_001224.1	0.0	2481	1343	1495	89
NC_001224.1_RagTag	NC_001224.1	0.0	2388	1293	1326	89
NC_001224.1_RagTag	NC_001224.1	0.0	2222	1203	1569	89
NC_001224.1_RagTag	NC_001224.1	0.0	2193	1187	1287	89
NC_001224.1_RagTag	NC_001224.1	0.0	2041	1105	1420	89
NC_001224.1_RagTag	NC_001224.1	0.0	1810	980	1045	89
NC_001224.1_RagTag	NC_001224.1	0.0	1738	941	1082	89
NC_001224.1_RagTag	NC_001224.1	0.0	1663	900	999	89
NC_001224.1_RagTag	NC_001224.1	0.0	1611	872	899	89
NC_001224.1_RagTag	NC_001224.1	0.0	1600	866	1204	89
NC_001224.1_RagTag	NC_001224.1	0.0	1585	858	1330	89
NC_001224.1_RagTag	NC_001224.1	0.0	1554	841	1009	89
NC_001224.1_RagTag	NC_001224.1	0.0	1493	808	929	89
NC_001224.1_RagTag	NC_001224.1	0.0	1474	798	801	89
NC_001224.1_RagTag	NC_001224.1	0.0	1421	769	772	89
